Manual,10.0,8.0,18.0,15.0,4.0,,24.0,10.0,35.0,27.0,14.0,3.0,27.0,12.0,52.0,40.0,15.0,3.0
Auto,6.0,3.0,20.0,18.0,3.0,2.0,20.0,7.0,45.0,34.0,10.0,2.0,22.0,7.0,65.0,52.0,12.0,2.0
